system,Equipment,label,ref
Equipment Name,Brick:Equipment-Type,Part Name,Brick:Part-Type,Point Name,Brick:Point-Type,Description
Test Room West,HVAC_Zone,,,RMHTGSPT,Zone_Air_Heating_Temperature_Setpoint,Room Heating Setpoint
Test Room VAV West,VAV,,,VAV_DAT*,Discharge_Air_Temperature_Sensor,Mixing Box Discharge Air Temperature
Test Room VAV West,VAV,,,VAV_DP_C,Static_Pressure_Sensor,Mixing Box Cold-deck Static Pressure
Test Room VAV West,VAV,,,VAV_DP_H,Static_Pressure_Sensor,Mixing Box Hot-deck Static Pressure
Test Room VAV West,VAV,,,VAV_DMPR_C,Damper_Position_Sensor,Mixing Box Cold-deck Damper Position
Test Room VAV West,VAV,,,VAV_DMPR_H,Damper_Position_Sensor,Mixing Box Hot-deck Damper Position
Test Room VAV West,VAV,,,VAVCFM_C_DM,Air_Flow_Demand_Setpoint,Mixing Box Cold-deck Control Signal (Demanded Air Flow Rate)
Test Room VAV West,VAV,,,VAVCFM_H_DM,Air_Flow_Demand_Setpoint,Mixing Box Hot-deck Control Signal  (Demanded Air Flow Rate)
Test Room VAV West,VAV,,,VAVCFM_C*,Air_Flow_Sensor,Mixing Box Cold-deck Air Flow Rate
Test Room VAV West,VAV,,,VAVCFM_H*,Air_Flow_Sensor,Mixing Box Hot-deck Air Flow Rate
Test Room VAV West,VAV,,,VAVCFM_T*,Air_Flow_Sensor,Mixing Box Total Air Flow Rate
Test Room VAV West,VAV,,,VAV_EAT_C,Air_Temperature_Sensor,Mixing Box Cold Deck Entering Air Temperature
Test Room VAV West,VAV,,,VAV_EAT_H,Air_Temperature_Sensor,Mixing Box Hot Deck Entering Air Temperature
Test Room East,HVAC_Zone,,,RM_TEMP*,Zone_Air_Temperature_Sensor,Room Temperature
Test Room East,HVAC_Zone,,,RMCLGSPT,Zone_Air_Cooling_Temperature_Setpoint,Room Cooling Setpoint
Test Room East,HVAC_Zone,,,RMHTGSPT,Zone_Air_Heating_Temperature_Setpoint,Room Heating Setpoint
Test Room VAV East,VAV,,,VAV_DAT*,Discharge_Air_Temperature_Sensor,Mixing Box Discharge Air Temperature
Test Room VAV East,VAV,,,VAV_DP_C,Static_Pressure_Sensor,Mixing Box Cold-deck Static Pressure
Test Room VAV East,VAV,,,VAV_DP_H,Static_Pressure_Sensor,Mixing Box Hot-deck Static Pressure
Test Room VAV East,VAV,,,VAV_DMPR_C,Damper_Position_Sensor,Mixing Box Cold-deck Damper Position
Test Room VAV East,VAV,,,VAV_DMPR_H,Damper_Position_Sensor,Mixing Box Hot-deck Damper Position
Test Room VAV East,VAV,,,VAVCFM_C_DM,Air_Flow_Demand_Setpoint,Mixing Box Cold-deck Control Signal (Demanded Air Flow Rate)
Test Room VAV East,VAV,,,VAVCFM_H_DM,Air_Flow_Demand_Setpoint,Mixing Box Hot-deck Control Signal  (Demanded Air Flow Rate)
Test Room VAV East,VAV,,,VAVCFM_C*,Air_Flow_Sensor,Mixing Box Cold-deck Air Flow Rate
Test Room VAV East,VAV,,,VAVCFM_H*,Air_Flow_Sensor,Mixing Box Hot-deck Air Flow Rate
Test Room VAV East,VAV,,,VAVCFM_T*,Air_Flow_Sensor,Mixing Box Total Air Flow Rate
Test Room VAV East,VAV,,,VAV_EAT_C,Air_Temperature_Sensor,Mixing Box Cold Deck Entering Air Temperature
Test Room VAV East,VAV,,,VAV_EAT_H,Air_Temperature_Sensor,Mixing Box Hot Deck Entering Air Temperature
Test Room South A,HVAC_Zone,,,RM_TEMP*,Zone_Air_Temperature_Sensor,Room Temperature
Test Room South A,HVAC_Zone,,,RMCLGSPT,Zone_Air_Cooling_Temperature_Setpoint,Room Cooling Setpoint
Test Room South A,HVAC_Zone,,,RMHTGSPT,Zone_Air_Heating_Temperature_Setpoint,Room Heating Setpoint
Test Room VAV South A,VAV,,,VAV_DAT*,Discharge_Air_Temperature_Sensor,Mixing Box Discharge Air Temperature
Test Room VAV South A,VAV,,,VAV_DP_C,Static_Pressure_Sensor,Mixing Box Cold-deck Static Pressure
Test Room VAV South A,VAV,,,VAV_DP_H,Static_Pressure_Sensor,Mixing Box Hot-deck Static Pressure
Test Room VAV South A,VAV,,,VAV_DMPR_C,Damper_Position_Sensor,Mixing Box Cold-deck Damper Position
Test Room VAV South A,VAV,,,VAV_DMPR_H,Damper_Position_Sensor,Mixing Box Hot-deck Damper Position
Test Room VAV South A,VAV,,,VAVCFM_C_DM,Air_Flow_Demand_Setpoint,Mixing Box Cold-deck Control Signal (Demanded Air Flow Rate)
Test Room VAV South A,VAV,,,VAVCFM_H_DM,Air_Flow_Demand_Setpoint,Mixing Box Hot-deck Control Signal  (Demanded Air Flow Rate)
Test Room VAV South A,VAV,,,VAVCFM_C*,Air_Flow_Sensor,Mixing Box Cold-deck Air Flow Rate
Test Room VAV South A,VAV,,,VAVCFM_H*,Air_Flow_Sensor,Mixing Box Hot-deck Air Flow Rate
Test Room VAV South A,VAV,,,VAVCFM_T*,Air_Flow_Sensor,Mixing Box Total Air Flow Rate
Test Room VAV South A,VAV,,,VAV_EAT_C,Air_Temperature_Sensor,Mixing Box Cold Deck Entering Air Temperature
Test Room VAV South A,VAV,,,VAV_EAT_H,Air_Temperature_Sensor,Mixing Box Hot Deck Entering Air Temperature
Test Room South B,HVAC_Zone,,,RM_TEMP*,Zone_Air_Temperature_Sensor,Room Temperature
Test Room South B,HVAC_Zone,,,RMCLGSPT,Zone_Air_Cooling_Temperature_Setpoint,Room Cooling Setpoint
Test Room South B,HVAC_Zone,,,RMHTGSPT,Zone_Air_Heating_Temperature_Setpoint,Room Heating Setpoint
Test Room VAV South B,VAV,,,VAV_DAT*,Discharge_Air_Temperature_Sensor,Mixing Box Discharge Air Temperature
Test Room VAV South B,VAV,,,VAV_DP_C,Static_Pressure_Sensor,Mixing Box Cold-deck Static Pressure
Test Room VAV South B,VAV,,,VAV_DP_H,Static_Pressure_Sensor,Mixing Box Hot-deck Static Pressure
Test Room VAV South B,VAV,,,VAV_DMPR_C,Damper_Position_Sensor,Mixing Box Cold-deck Damper Position
Test Room VAV South B,VAV,,,VAV_DMPR_H,Damper_Position_Sensor,Mixing Box Hot-deck Damper Position
Test Room VAV South B,VAV,,,VAVCFM_C_DM,Air_Flow_Demand_Setpoint,Mixing Box Cold-deck Control Signal (Demanded Air Flow Rate)
Test Room VAV South B,VAV,,,VAVCFM_H_DM,Air_Flow_Demand_Setpoint,Mixing Box Hot-deck Control Signal  (Demanded Air Flow Rate)
Test Room VAV South B,VAV,,,VAVCFM_C*,Air_Flow_Sensor,Mixing Box Cold-deck Air Flow Rate
Test Room VAV South B,VAV,,,VAVCFM_H*,Air_Flow_Sensor,Mixing Box Hot-deck Air Flow Rate
Test Room VAV South B,VAV,,,VAVCFM_T*,Air_Flow_Sensor,Mixing Box Total Air Flow Rate
Test Room VAV South B,VAV,,,VAV_EAT_C,Air_Temperature_Sensor,Mixing Box Cold Deck Entering Air Temperature
Test Room VAV South B,VAV,,,VAV_EAT_H,Air_Temperature_Sensor,Mixing Box Hot Deck Entering Air Temperature
